Creation Time:	2023-01-03 12:45:43

INPUT:
File name:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/result/real/crfe_v019_b1_real.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/real/random.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	70750154

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	1390
Total number of genes:	5752
Number of perturbed genes:	1726
Proportion perturbed genes:	0.30006954102920724

OUTPUT:
Learnt parameters:
alpha (FPR):	0.30000000000000004
beta (FNR):	0.5
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-3515.421080027584 +- 4.547473508864641e-13

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
142	37	14	0.00022	0.00065	6.223e+02	0.509	0.544	GO:1903310
143	23	8	0.00022	0.00061	2.565e+02	0.555	0.624	GO:0006687
144	26	11	0.00022	0.00065	2.915e+02	0.592	0.487	GO:0006833
145	25	10	0.00022	0.00065	2.795e+02	0.6	0.296	GO:0050732
146	20	8	0.00022	0.00046	1.807e+02	0.512	0.679	GO:0050856
147	23	9	0.00021	0.00046	2.406e+02	0.613	0.406	GO:0010453
148	28	11	0.00021	0.00046	3.523e+02	0.538	0.575	GO:0001944
149	43	17	0.00021	0.00064	8.166e+02	0.557	0.434	GO:0045833
150	21	8	0.00021	0.0005	2.047e+02	0.517	0.516	GO:0060343
151	23	9	0.00021	0.0006	2.406e+02	0.525	0.537	GO:0006801
152	27	10	0.00021	0.00048	3.393e+02	0.525	0.584	GO:0019395
153	31	13	0.0002	0.0004	4.141e+02	0.552	0.515	GO:0009187
154	27	10	0.0002	0.00041	3.393e+02	0.567	0.453	GO:0019362
155	41	16	0.0002	0.00046	7.488e+02	0.508	0.401	GO:0055072
156	36	14	0.0002	0.00038	5.805e+02	0.602	0.376	GO:0001910
157	29	11	0.0002	0.00041	3.852e+02	0.55	0.451	GO:0072655
158	20	8	0.00019	0.00058	1.807e+02	0.6	0.499	GO:0044705
159	26	9	0.00019	0.00051	3.263e+02	0.55	0.455	GO:0007528
160	25	10	0.00019	0.00056	2.795e+02	0.546	0.473	GO:0008038
161	34	13	0.00018	0.00044	5.237e+02	0.547	0.443	GO:0006767
162	55	22	0.00017	0.0005	1.319e+03	0.535	0.469	GO:0031570
163	31	13	0.00017	0.00039	4.141e+02	0.549	0.527	GO:0032722
164	22	9	0.00017	0.0005	2.147e+02	0.528	0.495	GO:0043534
165	26	9	0.00016	0.00048	3.263e+02	0.523	0.492	GO:0006997
166	72	28	0.00016	0.00038	2.284e+03	0.58	0.442	GO:0031668
167	32	13	0.00016	0.00032	4.490e+02	0.56	0.43	GO:0060411
168	33	11	0.00016	0.00034	5.306e+02	0.543	0.45	GO:0034754
169	26	9	0.00016	0.00044	3.263e+02	0.549	0.523	GO:0001975
170	33	12	0.00016	0.00047	5.077e+02	0.461	0.605	GO:0032024
171	69	29	0.00016	0.00036	2.008e+03	0.571	0.453	GO:0038123
172	23	9	0.00016	0.00029	2.406e+02	0.528	0.446	GO:0043124
173	42	16	0.00016	0.00034	7.956e+02	0.512	0.529	GO:2001252
174	40	14	0.00015	0.00046	7.557e+02	0.519	0.506	GO:0010822
175	27	10	0.00015	0.0003	3.393e+02	0.562	0.436	GO:0000724
176	36	14	0.00015	0.00032	5.805e+02	0.504	0.475	GO:0010464
177	37	15	0.00014	0.00025	5.985e+02	0.589	0.524	GO:0002709
178	21	9	0.00014	0.00026	1.907e+02	0.532	0.343	GO:0048147
179	63	27	0.00014	0.00032	1.657e+03	0.591	0.459	GO:0034146
180	37	15	0.00014	0.00039	5.985e+02	0.547	0.494	GO:0000041
181	30	10	0.00014	0.0003	4.400e+02	0.526	0.369	GO:0006096
182	20	7	0.00014	0.00039	1.947e+02	0.516	0.61	GO:0014065
183	21	8	0.00014	0.00033	2.047e+02	0.602	0.499	GO:0019098
184	26	10	0.00014	0.00036	3.084e+02	0.543	0.416	GO:0019369
185	23	9	0.00014	0.00042	2.406e+02	0.564	0.44	GO:0070670
186	31	13	0.00014	0.00025	4.141e+02	0.527	0.381	GO:1901888
187	22	7	0.00014	0.00027	2.456e+02	0.526	0.413	GO:0034405
188	20	7	0.00014	0.00027	1.947e+02	0.529	0.203	GO:0042180
189	31	11	0.00014	0.00041	4.549e+02	0.531	0.377	GO:0045682
190	25	10	0.00013	0.0004	2.795e+02	0.553	0.633	GO:0001942
191	26	10	0.00013	0.00024	3.084e+02	0.546	0.405	GO:0006826
192	20	8	0.00013	0.0004	1.807e+02	0.558	0.407	GO:0009190
193	34	14	0.00013	0.00032	5.018e+02	0.553	0.298	GO:0043488
194	33	11	0.00013	0.0004	5.306e+02	0.473	0.574	GO:0051492
195	23	8	0.00013	0.0004	2.565e+02	0.57	0.577	GO:0061098
196	49	16	0.00013	0.00038	1.167e+03	0.497	0.518	GO:0006721
197	39	14	0.00013	0.00029	7.099e+02	0.54	0.594	GO:0031032
198	35	12	0.00013	0.00035	5.874e+02	0.491	0.47	GO:0042384
199	20	8	0.00013	0.00029	1.807e+02	0.568	0.431	GO:0045814
200	26	10	0.00013	0.00032	3.084e+02	0.543	0.373	GO:0051055
201	74	28	0.00013	0.00038	2.447e+03	0.538	0.458	GO:0051250
202	58	23	0.00013	0.00022	1.472e+03	0.534	0.498	GO:0070304
203	25	9	0.00013	0.00031	2.964e+02	0.517	0.456	GO:0014014
204	21	8	0.00013	0.00019	2.047e+02	0.538	0.572	GO:0045823
205	25	10	0.00012	0.0003	2.795e+02	0.534	0.392	GO:0046825
206	73	29	0.00012	0.00036	2.319e+03	0.535	0.455	GO:0019827
207	33	12	0.00012	0.00036	5.077e+02	0.558	0.342	GO:0060402
208	37	13	0.00012	0.00032	6.472e+02	0.527	0.668	GO:0006664
209	35	13	0.00012	0.00035	5.636e+02	0.544	0.351	GO:0007159
210	25	9	0.00012	0.00024	2.964e+02	0.499	0.486	GO:0007628
211	20	7	0.00012	0.00035	1.947e+02	0.556	0.542	GO:0032459
212	30	13	0.00012	0.00035	3.802e+02	0.545	0.381	GO:0034644
213	22	7	0.00012	0.00035	2.456e+02	0.531	0.429	GO:0046676
214	37	13	0.00012	0.00032	6.472e+02	0.502	0.552	GO:0051258
215	21	7	0.00012	0.00021	2.196e+02	0.51	0.509	GO:0086001
216	24	10	0.00011	0.00023	2.516e+02	0.556	0.425	GO:0008625
217	27	12	0.00011	0.00023	3.045e+02	0.524	0.513	GO:0051057
218	28	7	0.00011	0.00034	4.339e+02	0.453	0.476	GO:0045168
219	31	8	0.00011	0.00034	5.235e+02	0.46	0.52	GO:0046631
220	29	12	0.00011	0.00032	3.663e+02	0.554	0.566	GO:0007286
221	64	23	0.00011	0.00022	1.886e+03	0.505	0.56	GO:0030705
222	40	15	0.00011	0.00022	7.289e+02	0.479	0.523	GO:0048661
223	21	8	0.00011	0.00032	2.047e+02	0.513	0.485	GO:0050710
224	31	12	0.0001	0.00026	4.340e+02	0.518	0.591	GO:0008589
225	33	13	0.0001	0.0003	4.859e+02	0.555	0.433	GO:0042098
226	24	7	0.0001	0.00025	3.024e+02	0.488	0.403	GO:0060740
227	22	8	0.0001	0.00031	2.296e+02	0.521	0.557	GO:0048871
228	74	30	0.0001	0.0002	2.355e+03	0.544	0.484	GO:0002495
229	42	16	0.0001	0.0002	7.956e+02	0.512	0.582	GO:0006940
230	55	19	0.0001	0.0003	1.426e+03	0.514	0.51	GO:0010821
231	67	25	0.0001	0.0003	2.025e+03	0.531	0.493	GO:0022617
232	26	10	0.0001	0.00029	3.084e+02	0.597	0.417	GO:0000387
233	23	8	0.0001	0.00029	2.565e+02	0.523	0.538	GO:0061178
234	23	8	9e-05	0.00028	2.565e+02	0.506	0.407	GO:0006323
235	40	13	9e-05	0.00028	7.835e+02	0.513	0.577	GO:0007189
236	50	21	9e-05	0.00015	1.061e+03	0.538	0.383	GO:0070555
237	38	14	9e-05	0.00026	6.651e+02	0.517	0.436	GO:0001776
238	22	6	9e-05	0.00026	2.625e+02	0.493	0.388	GO:0032873
239	21	8	9e-05	0.00025	2.047e+02	0.546	0.659	GO:0044062
240	44	16	9e-05	0.00026	8.941e+02	0.505	0.449	GO:0046916
