Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
60	30	20	0.03569	0.05971	2.558e+02	0.139	0.518	GO:0043331
61	52	36	0.03528	0.04794	7.122e+02	0.14	0.501	GO:0060688
62	65	33	0.03518	0.02771	1.582e+03	0.046	0.403	GO:0060337
63	22	14	0.03431	0.0438	1.489e+02	0.149	0.444	GO:0043330
64	49	26	0.03118	0.03038	8.736e+02	0.044	0.493	GO:0006626
65	64	40	0.03043	0.04622	1.259e+03	0.129	0.473	GO:0070555
66	34	24	0.02964	0.06077	2.958e+02	0.241	0.399	GO:0055021
67	24	16	0.02928	0.03135	1.649e+02	0.18	0.425	GO:0042596
68	20	14	0.02865	0.04225	1.059e+02	0.16	0.489	GO:0050685
69	95	61	0.02851	0.05618	2.664e+03	0.147	0.42	GO:0002822
70	50	28	0.02821	0.04951	8.686e+02	0.107	0.442	GO:0055002
71	71	35	0.02758	0.03726	1.923e+03	-0.031	0.467	GO:0005976
72	58	40	0.02594	0.03307	8.908e+02	0.164	0.47	GO:0002821
73	20	12	0.02552	0.05497	1.329e+02	0.094	0.461	GO:0000381
74	46	27	0.02508	0.04657	7.030e+02	0.078	0.467	GO:0006333
75	26	15	0.02412	0.03996	2.318e+02	0.108	0.404	GO:0030166
76	50	26	0.02356	0.04672	9.235e+02	0.091	0.463	GO:0046164
77	187	92	0.0234	0.06114	1.322e+04	-0.001	0.441	GO:0006575
78	164	73	0.02258	0.04705	1.085e+04	-0.034	0.432	GO:0006022
79	43	28	0.02193	0.06499	5.404e+02	0.165	0.426	GO:0001910
80	27	13	0.02144	0.02648	2.887e+02	0.018	0.41	GO:0019674
81	34	22	0.02106	0.04224	3.427e+02	0.203	0.397	GO:0045840
82	28	17	0.01994	0.04059	2.538e+02	0.043	0.524	GO:0003073
83	32	17	0.01972	0.01724	3.756e+02	0.076	0.428	GO:0090003
84	66	33	0.0188	0.01758	1.647e+03	0.045	0.403	GO:0034340
85	112	68	0.01834	0.05474	3.971e+03	0.127	0.407	GO:0002699
86	20	12	0.01781	0.02798	1.329e+02	0.1	0.384	GO:0045773
