Creation Time:	2022-12-29 18:37:42

INPUT:
File name:	crfe_v018.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_10_seed_20.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	1247334580

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4883
Proportion perturbed genes:	0.4172077922077922

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.2838709677419355
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-7960.196521391944 +- 1.5151360795546407

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
172	26	15	0.00054	0.00161	2.318e+02	0.002	0.608	GO:0046132
173	31	17	0.00053	0.00158	3.437e+02	0.086	0.468	GO:0060761
174	21	12	0.00052	0.00156	1.539e+02	0.075	0.455	GO:0045446
175	23	11	0.0005	0.00149	2.118e+02	-0.017	0.401	GO:0000083
176	21	12	0.00049	0.00122	1.539e+02	0.056	0.398	GO:0015844
177	24	13	0.00048	0.00144	2.098e+02	0.038	0.44	GO:0051385
178	24	13	0.00047	0.00142	2.098e+02	0.017	0.462	GO:0051568
179	24	13	0.00046	0.00137	2.098e+02	0.029	0.467	GO:0018904
180	24	13	0.00046	0.00137	2.098e+02	0.094	0.438	GO:0035329
181	40	25	0.00045	0.001	4.955e+02	0.167	0.46	GO:0055010
182	24	14	0.00044	0.00075	1.959e+02	0.106	0.418	GO:1901989
183	23	11	0.00044	0.00132	2.118e+02	-0.121	0.667	GO:0009148
184	22	14	0.00044	0.00107	1.489e+02	0.18	0.405	GO:0051293
185	21	10	0.00044	0.00131	1.779e+02	-0.141	0.683	GO:0031670
186	26	15	0.00042	0.00127	2.318e+02	0.024	0.457	GO:0009954
187	42	21	0.0004	0.00121	6.720e+02	-0.079	0.492	GO:0002718
188	30	16	0.00037	0.0011	3.297e+02	0.003	0.572	GO:0048265
189	27	16	0.00036	0.00088	2.428e+02	0.116	0.48	GO:1903018
190	23	13	0.00036	0.00107	1.859e+02	0.043	0.482	GO:0003254
191	28	14	0.00035	0.00083	3.017e+02	-0.061	0.52	GO:0009072
192	21	13	0.00033	0.001	1.409e+02	0.146	0.499	GO:0046320
193	23	14	0.00033	0.00098	1.719e+02	0.028	0.546	GO:0090207
194	27	15	0.00032	0.00097	2.588e+02	-0.014	0.608	GO:0009220
195	23	14	0.0003	0.00091	1.719e+02	-0.041	0.607	GO:0034605
196	28	14	0.0003	0.00086	3.017e+02	-0.028	0.594	GO:0002312
197	58	33	0.0003	0.0009	1.149e+03	0.045	0.487	GO:0045744
198	31	17	0.0003	0.00089	3.437e+02	-0.047	0.63	GO:0045103
199	30	12	0.0003	0.00089	3.995e+02	-0.135	0.475	GO:0071333
200	31	18	0.00029	0.00088	3.257e+02	0.088	0.468	GO:0010977
201	29	16	0.00028	0.00084	2.997e+02	-0.008	0.596	GO:0009218
202	23	11	0.00027	0.0008	2.118e+02	-0.058	0.617	GO:0032689
203	30	16	0.00026	0.00054	3.297e+02	0.065	0.416	GO:0060135
204	29	16	0.00026	0.00053	2.997e+02	-0.037	0.499	GO:0043491
205	47	24	0.00025	0.00074	8.277e+02	-0.056	0.494	GO:0005977
206	21	11	0.00025	0.00074	1.659e+02	0.02	0.426	GO:0045453
207	27	14	0.00024	0.00071	2.737e+02	-0.057	0.563	GO:0010508
208	28	14	0.00023	0.0007	3.017e+02	-0.114	0.612	GO:2001244
209	36	19	0.00023	0.00068	4.764e+02	-0.086	0.518	GO:0043473
210	23	10	0.00023	0.00068	2.258e+02	-0.129	0.544	GO:1900449
211	21	10	0.00022	0.00067	1.779e+02	-0.07	0.532	GO:0043299
212	36	18	0.00022	0.00045	4.954e+02	-0.092	0.579	GO:0007339
213	29	13	0.00021	0.00064	3.486e+02	-0.096	0.581	GO:0060043
214	23	14	0.00021	0.00062	1.719e+02	0.123	0.418	GO:1901992
215	41	21	0.0002	0.00044	6.301e+02	-0.091	0.514	GO:0034968
216	51	27	0.0002	0.0006	9.474e+02	0.006	0.51	GO:0001508
217	33	17	0.0002	0.0006	4.085e+02	-0.053	0.512	GO:0009620
218	24	13	0.00019	0.00058	2.098e+02	0.039	0.5	GO:0003279
219	53	27	0.00019	0.00056	1.052e+03	-0.034	0.566	GO:0006213
220	31	17	0.00018	0.00055	3.437e+02	-0.031	0.465	GO:0030501
221	20	10	0.00018	0.00054	1.559e+02	-0.082	0.706	GO:0009208
222	21	9	0.00018	0.00054	1.908e+02	-0.082	0.47	GO:0036230
223	27	15	0.00018	0.00053	2.588e+02	0.037	0.371	GO:0046209
224	30	19	0.00017	0.00052	2.758e+02	0.135	0.544	GO:0030513
225	33	13	0.00016	0.00049	4.863e+02	-0.111	0.66	GO:0051963
226	34	17	0.00016	0.00045	4.425e+02	-0.039	0.437	GO:0006695
227	23	14	0.00016	0.00047	1.719e+02	0.149	0.358	GO:0034405
228	34	20	0.00015	0.00044	3.856e+02	0.158	0.348	GO:0010812
229	20	11	0.00014	0.00043	1.449e+02	-0.052	0.614	GO:0030879
230	26	12	0.00014	0.00042	2.757e+02	0.106	0.361	GO:0044060
231	22	10	0.00012	0.00037	2.008e+02	-0.133	0.615	GO:0033344
232	22	12	0.00012	0.00037	1.759e+02	0.111	0.316	GO:0042417
233	32	19	0.00012	0.00035	3.387e+02	0.063	0.514	GO:0040018
234	54	32	0.00011	0.00032	9.565e+02	0.096	0.474	GO:0000186
235	66	35	0.00011	0.00032	1.579e+03	0.004	0.518	GO:0055067
236	20	12	0.0001	0.00029	1.329e+02	0.145	0.456	GO:0009268
237	111	64	0.0001	0.00029	4.124e+03	0.118	0.408	GO:0045787
238	42	21	9e-05	0.00028	6.720e+02	-0.11	0.562	GO:0032663
239	20	8	9e-05	0.00028	1.808e+02	-0.162	0.551	GO:0050892
240	72	36	8e-05	0.00025	1.958e+03	-0.005	0.432	GO:0051437
241	46	23	8e-05	0.00025	8.047e+02	-0.045	0.626	GO:0097306
242	20	11	8e-05	0.00024	1.449e+02	0.133	0.367	GO:0010714
243	47	28	8e-05	0.00023	7.220e+02	0.017	0.514	GO:0051146
244	20	9	7e-05	0.0002	1.679e+02	-0.021	0.355	GO:0019724
245	26	15	6e-05	0.00019	2.318e+02	0.015	0.473	GO:0021955
246	35	17	6e-05	0.00018	4.784e+02	-0.026	0.507	GO:0006284
247	39	23	6e-05	0.00014	5.044e+02	0.079	0.485	GO:0060079
248	27	16	6e-05	0.00017	2.428e+02	0.012	0.568	GO:0006775
249	34	23	4e-05	0.00013	3.197e+02	0.185	0.419	GO:0001569
250	31	13	4e-05	0.00011	4.145e+02	-0.078	0.487	GO:0030073
251	21	12	3e-05	0.0001	1.539e+02	0.094	0.448	GO:0046466
252	22	10	3e-05	0.0001	2.008e+02	0.008	0.4	GO:0060612
253	27	15	3e-05	8e-05	2.588e+02	-0.015	0.563	GO:0060740
254	31	15	2e-05	7e-05	3.776e+02	-0.006	0.515	GO:0070192
255	22	10	2e-05	6e-05	2.008e+02	-0.068	0.493	GO:0006297
256	31	17	1e-05	2e-05	3.437e+02	0.067	0.502	GO:0051445
257	21	10	0.0	1e-05	1.779e+02	-0.073	0.593	GO:0008045
258	24	13	0.0	1e-05	2.098e+02	0.006	0.469	GO:0050922
259	26	14	0.0	1e-05	2.468e+02	-0.021	0.49	GO:0051602
