         13664404 function calls (13518132 primitive calls) in 24.845 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/c_parser_wrapper.py:215(read)
       28    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/IPython/core/compilerop.py:174(extra_flags)
        1    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexers/utils.py:249(maybe_convert_indices)
        1    0.000    0.000    0.011    0.011 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/readers.py:584(read_csv)
       16    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/common.py:680(is_integer_dtype)
        1    0.000    0.000    0.000    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/3055559386.py:701(get_filename)
        7    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/construction.py:698(_try_cast)
       25    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/common.py:155(<lambda>)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:227(_isna_array)
       43    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.010    0.010 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/readers.py:1245(read)
        1    0.000    0.000    0.000    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
        3    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1962(construct_1d_object_array_from_listlike)
        2    0.000    0.000    0.001    0.001 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/frame.py:587(__init__)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexing.py:834(_getitem_lowerdim)
        3    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/warnings.py:130(filterwarnings)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/numeric.py:219(__contains__)
       13    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1240(is_float_dtype)
        7    0.000    0.000    0.001    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/base.py:6987(ensure_index)
        7    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/base.py:5023(__getitem__)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/_methods.py:260(_std)
       14    0.000    0.000   24.845    1.775 {built-in method builtins.exec}
        3    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/base.py:554(_dtype_to_subclass)
       27    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
    16/15    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       11    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1747(pandas_dtype)
