GO:0045955	STXBP3 GNAI2 ADRA2A NOTCH1 RAP1B REST CBARP SYT4 CBARP
GO:0060411	DHRS3 HAND1 TP53 BMP7 BMP5 NOTCH1 JAG1 MDM2 DNAH11 MKS1 CHD7 HEY2 HEY1
GO:0097211	CRHBP GNRHR UMODL1 MGARP GNRHR2 GPR173
GO:0036023	CTNNB1 OSR2 OSR1
GO:0060738	FOXA1 SHH
GO:1905913	CALM1 CALM2 CALM3 YWHAE
GO:1905474	WNT3
GO:0051042	BMP2
GO:1905809	PGRMC1
GO:0014066	PIP5K1B PIP5K1C RASGRP1 EGFR CEACAM1 PTPN13 CEP55 DIPK2A PPP1R16B PIP5K1A CRNN FBXL2 CRNN DIPK2A LIME1
GO:1904902	CHMP6
GO:0007181	TGFBR3 FMOD EID2
GO:1904270	AIM2 MEFV
GO:0042776	NDUFS8 SDHD NDUFAB1 NDUFA1 NDUFS4 NDUFB5 NDUFB3 NDUFC1 NDUFA2 NDUFS5 NDUFS7 NDUFS2 NDUFS6 NDUFB1 NDUFS3 ATP5PD ATP5MG NDUFB6 NDUFA3 NDUFB4 NDUFB8 NDUFB2 NDUFA7 NDUFC2 NDUFA10 NDUFB10 MT-ATP6 MT-ND1 MT-ND2 MT-ND3 MT-ND4L MT-ND4 MT-ND5 MT-ND6 MT-ATP8 ATP5F1B NDUFB7 ATP5PF NDUFV2 SDHB ATP5PB ATP5F1A NDUFS1 ATP5F1D ATP5F1D SDHA ATP5F1C ATP5PO NDUFV1 NDUFA8 ATP5MF NDUFV3 ATP5F1E ATP5ME NDUFA6 NDUFA5 NDUFA9 NDUFA11 SDHC NDUFB11 NDUFA13 NDUFA12 STOML2 NDUFB9 ATP5PO ATP5F1EP2 ATP5F1E ATP5F1B ATP5MF
GO:0038096	MYO1G PLD2 PLA2G6 ABL1 ABL1 FYN FYN YES1 YES1 LYN LYN HCK HCK FGR FGR SRC SRC VAV1 VAV1 FCGR2B SYK SYK VAV2 VAV2 LIMK1 PRKCE PTK2 PTK2 PRKCD PAK1 PLPP4 VAV3 VAV3
GO:0015835	SLC15A2 SLC15A3 SLC15A4 SLC15A4
GO:0034311	LRP2
GO:0018106	NME2
GO:0120168	WDR47
GO:0021757	FOXP2
